1,637 867
2,537 423
3,340 785
4,161 814
5,141 197
6,1 081 896
7,325 877
8,275 762
9,152 542
10,310 068
11,368 311
12,279 835
13,2 026 120
14,694 660
15,145 655
16,353 152
17,642 892
18,307 611
19,241 869
20,155 087
21,175 665
22,534 522
23,598 648
24,119 849
25,414 614
26,538 542
27,508 738
28,604 846
29,434 205
30,909 123
31,741 594
32,1 353 252
33,191 186
34,1 569 391
35,1 133 886
36,1 053 493
37,222 375
38,607 118
39,1 258 446
40,260 247
41,406 314
42,333 071
43,760 784
44,227 255
45,1 381 347
46,676 201
47,172 719
48,333 414
49,76 078
50,814 004
51,498 801
52,572 808
53,177 897
54,307 561
55,734 088
56,189 614
57,747 956
58,1 042 825
59,209 964
60,2 609 121
61,824 775
62,285 342
63,1 474 152
64,650 229
65,672 631
66,228 258
67,474 935
68,1 119 637
69,764 567
70,1 841 226
71,236 775
72,554 868
73,568 082
74,430 123
75,806 215
76,2 194 143
77,1 257 791
78,1 401 292
79,1 431 344
80,374 990
81,571 521
82,388 701
83,257 834
84,1 056 735
85,560 579
86,671 644
87,436 136
88,375 265
89,369 829
90,340 283
91,144 434
92,1 289 199
93,1 605 627
94,1 610 539
95,1 382 098
96,1 224 688
97,64 558 472
98,396 012
99,378 043
100,266 812
101,855 992
102,239 532
103,2 136 391
104,66 694 863
